股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
300015,爱尔眼科,5.5,71,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有37家主力机构披露2026-06-30报告期持股数据，持仓量总计3.08亿股，占流通A股3.87%,5.3,3.7,5.5,6.3,7.0
300832,新产业,5.5,71,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有40家主力机构披露2026-06-30报告期持股数据，持仓量总计3.92亿股，占流通A股57.46%,6.5,5.4,5.5,0.0,6.6
600372,中航机载,5.5,72,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有24家主力机构披露2026-06-30报告期持股数据，持仓量总计8369.44万股，占流通A股1.73%,5.5,5.7,5.5,5.2,5.4
600522,中天科技,5.5,72,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速下跌的趋势。,已有132家主力机构披露2026-06-30报告期持股数据，持仓量总计2.36亿股，占流通A股6.91%,3.1,3.6,8.4,6.3,7.7
600845,宝信软件,5.5,72,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有8家主力机构披露2026-06-30报告期持股数据，持仓量总计14.81亿股，占流通A股69.39%,5.1,5.5,5.5,3.5,6.6
601111,中国国航,5.5,73,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,有加速下跌的趋势。,已有71家主力机构披露2026-06-30报告期持股数据，持仓量总计2.64亿股，占流通A股2.27%,3.7,6.7,4.9,6.1,6.7
601229,上海银行,5.5,73,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有69家主力机构披露2026-06-30报告期持股数据，持仓量总计2.78亿股，占流通A股1.96%,6.3,5.2,5.5,4.3,5.2
601607,上海医药,5.5,73,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有6家主力机构披露2026-06-30报告期持股数据，持仓量总计564.12万股，占流通A股0.20%,5.6,4.7,5.6,5.5,5.9
601825,沪农商行,5.5,73,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有24家主力机构披露2026-06-30报告期持股数据，持仓量总计1.62亿股，占流通A股1.72%,7.4,4.2,5.5,4.3,4.6
603392,万泰生物（603392）,5.5,73,中性,该股进入多头行情中，股价短线上涨概率较大。,正处于反弹阶段。,已有8家主力机构披露2026-06-30报告期持股数据，持仓量总计7.25亿股，占流通A股57.32%,7.1,5.6,5.8,0.0,5.6
605499,东鹏饮料（605499）,5.5,73,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有65家主力机构披露2026-06-30报告期持股数据，持仓量总计8656.98万股，占流通A股12.81%,4.0,5.8,6.6,2.4,7.7
688041,海光信息（688041）,5.5,74,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,上涨趋势有所减缓，可适量高抛低吸。,已有1123家主力机构披露2026-06-30报告期持股数据，持仓量总计17.12亿股，占流通A股73.64%,5.4,5.7,7,1.6,6.2
000063,中兴通讯,5.4,64,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,有加速上涨趋势。,已有47家主力机构披露2026-06-30报告期持股数据，持仓量总计2.76亿股，占流通A股6.86%,6.4,2.2,6,6.0,6.0
000988,华工科技,5.4,64,中性,前期的强势行情已经结束，投资者及时卖出股票为为宜。,下跌有所减缓，仍应保持谨慎。,已有38家主力机构披露2026-06-30报告期持股数据，持仓量总计651.03万股，占流通A股0.65%,5.2,2.7,5.5,6.3,7.2
002230,科大讯飞,5.4,65,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有76家主力机构披露2026-06-30报告期持股数据，持仓量总计5.29亿股，占流通A股24.15%,5.7,2.7,6,3.5,7.6
002371,北方华创,5.4,65,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,回落整理中且下跌有加速趋势。,已有1074家主力机构披露2026-06-30报告期持股数据，持仓量总计5.46亿股，占流通A股75.25%,4.4,5.5,5.5,6.0,6.4
002837,英维克,5.4,65,中性,股价的强势特征已经确立，短线可能回调。,有加速下跌的趋势。,已有58家主力机构披露2026-06-30报告期持股数据，持仓量总计4.15亿股，占流通A股36.65%,5.0,4.7,5.5,3.1,7.4
300124,汇川技术,5.4,66,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,有加速下跌的趋势。,已有127家主力机构披露2026-06-30报告期持股数据，持仓量总计8745.25万股，占流通A股3.65%,3.7,4.8,5.5,6.3,7.5
300750,宁德时代,5.4,66,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,下跌有所减缓，仍应保持谨慎。,长期一般，有一定的投资价值。,4.8,7.2,6.2,0.0,6.2
300999,金龙鱼,5.4,66,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有12家主力机构披露2026-06-30报告期持股数据，持仓量总计2495.94万股，占流通A股4.60%,6.1,3.6,6.4,3.8,6.0
600010,包钢股份,5.4,67,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速下跌的趋势。,已有23家主力机构披露2026-06-30报告期持股数据，持仓量总计133.56亿股，占流通A股42.65%,4.7,4.9,5.8,6.6,6.1
